,likes,replies,text,timestamp,user
53,5,0,can #tizibika be longer please? They're so many shows that it can replace ,2018-02-15 22:07:10,joannaakuzike
54,3,1,Thanks for support and am glad you enjoyed.#Tizibika,2018-02-15 22:01:03,KusalokaKabwit1
55,3,0,Compared to zuba #Tizibika makes more sense mweh,2018-02-15 21:43:47,NammmyK
56,3,1,ah ah Jangulu is Charles #Tizibika,2018-02-15 21:42:51,joannaakuzike
57,2,0,when they bleep out the name. We all know#Tizibika,2018-02-15 21:39:22,joannaakuzike
58,3,0,Yaaaasss #tizibika! When your #BaCharles does right by you..https://twitter.com/KukaMulenga/status/964251753981112321 …,2018-02-15 21:37:33,Nalahru
59,26,4,FINALLY watched #Tizibika its ARRRMMMAAAZZZIIINNGG!!! #wekeepmoving,2018-02-15 21:31:39,LuluHaangala
60,3,1,#Tizibika i would love to know the amazing director behind this cool show ...atlest #ZambeziMagic is bring us fun shows mwe,2018-02-15 21:26:29,RacheaRm
61,7,0,"Well Episode 2 #Tizibika not bad, I can tell that this will be my favourite show.",2018-02-15 21:24:59,MelissaShevon
62,1,0,@KatongoChiluba aty Tryness..#Tizibika,2018-02-15 21:17:26,MwambiK
63,2,1,Hehehe name change apo!  Ba Thandie.  Awe #Tizibika zoona,2018-02-15 21:12:02,Nalahru
64,6,2,Totally!!! That level creativity must be applauded!!! The ladies in it are soooo gorgeous and talented! I love it! It made me happy! #tizibika #ProudlyZambianhttps://twitter.com/mister_entitled/status/964231484809908224 …,2018-02-15 21:08:26,monde88
65,8,4," Zuba is on episode 8.. I swear I feel like u'very been watching the same episode.. back acting, irritating Zuba chick.. terrible acting.. annoying AF Zuba chick.. WTF! #Tizibika is the future",2018-02-15 21:04:34,Mister_Entitled
66,11,2,I second this motion! #Tizibika is IT!!!  https://twitter.com/iistargirl/status/964241555971338241 …,2018-02-15 21:03:27,monde88
67,2,0,Yaaaasss.  You're officially Ba Charles! Beware of Joyce but Enh. Siba jailika Baja #tizibika.,2018-02-15 20:57:42,Nalahru
68,3,1, umupondo kopala!!  I die this show #Tizibika,2018-02-15 20:56:54,Kassy90
69,49,1,Vina is rubbish. Can Zambezi magic please cancel it and make #Tizibika longer ? pic.twitter.com/PXtv6tktY9,2018-02-15 20:54:36,iistargirl
70,8,1,Enjoyed episode 2. Thandi and Hope am officially a fan.#Tizibika,2018-02-15 20:53:54,ThandiZV
71,8,1,Imwe #Tizibika I also want a Gucci bag please.  Ya this year aini.,2018-02-15 20:52:14,Nalahru
72,12,0,What is this show now? Bring back #tizibika,2018-02-15 20:51:44,PetersenZambia
73,5,2,"#tizibika
Wait is this Hope?
From Hope and Chi’s breakfast show? 

Finally a face to the blonde moments !!!!",2018-02-15 20:50:28,chucky_beau
74,11,1,#Tizibika S01E02  @tozy_b @arushapot @jeSuis_Amy @KatongoChiluba @Ericmuleproduct @kathlyn_47 ,2018-02-15 20:50:24,Mister_Entitled
75,4,1,Like the jogging? Then the dancing? Then the gym? Akant  they actually thought we would fall for the "let's air this after #Tizibika" trick ,2018-02-15 20:49:28,Tashy_WashyXO
76,6,1,Lol fam  no Jerabos allowed #tizibika,2018-02-15 20:49:02,KukaMulenga
77,2,1,I stopped watching after they started jogging to the gym. It's a downgrade after #tizibika,2018-02-15 20:48:56,mis_kapxy
78,11,2,#Tizibika is refreshing. Different from the usual.,2018-02-15 20:47:24,ProudlyZambian
79,10,0,Elo they hide their “ba Charles” as though they don’t lowkey fight each other for a “ba charles” #tizibika #ZMComedyhttps://twitter.com/kristina_miti/status/964235272723533825 …,2018-02-15 20:47:18,maluba96
80,10,0,"#Tizibika it's like watching two broke girls,I love it.",2018-02-15 20:46:19,MundikeSiangom1
81,3,0,"Lol 

Ati akosomola nayo 

1998
1978
1968

Zappa #tizibika",2018-02-15 20:45:01,PetersenZambia
82,10,0,2018 Be sure you're the one buying your girls wigs and not a 'Ba Charles!'  #Tizibika,2018-02-15 20:40:48,McD_101
83,11,1,"#Tizibika is the best thing thats happened to Zambia....
Proud of u @KatongoChiluba
",2018-02-15 20:40:48,annitwani
84,9,1,"#Tizibika I can't say it enough, this show is so good. Ba Charles representing for jerabos finshi mwingabeba!",2018-02-15 20:38:33,jumaniza
85,8,1,"#tizibika catch me on the telly every Thursday at 22:00hrs
Today's episode though 'ba Charles' 
I absolutely love it...",2018-02-15 20:38:27,Talu_starzz
86,25,6,The way guys slide in DMs please...pictures like this are relevant #tizibika  pic.twitter.com/Qw54z4JOky,2018-02-15 20:37:45,KukaMulenga
87,18,2,How some of these women lowkey date a good “ba charles”....we’ve seen your secrets  #Tizibika #ZMComedy,2018-02-15 20:37:04,maluba96
88,30,1,Here I am thinking my parents would be asking questions during the episode. My dad starts telling me about the episode I missed last week  #tizibika you have fans in this house,2018-02-15 20:35:28,MsRettaLi
89,2,0,Feeling all kinds of FOMO #tizibika ,2018-02-15 20:34:06,ChiqqaShanna
90,3,0,If you are watching #tizibika you need to vote https://twitter.com/TopZedBrands/status/961740889663115264 …,2018-02-15 20:33:33,TopZedBrands
91,5,1,Bc dat ting goes skrrrrrrPAP-PAP in the preliminary period of cooking/boiling it. #Tizibika,2018-02-15 20:33:07,MissZambia
92,7,0,#Tizibika is done now.. while we recover let's watch this girl jog,2018-02-15 20:32:32,Mister_Entitled
93,23,1,"#tizibika  needed to be like #zuba 
Can’t be waiting for this slay queen drama once a week ",2018-02-15 20:32:06,kristina_miti
94,7,1,"But on the real, Charles would beat me in ten minutes, I would be laughing at him #Jerabo #Tizibika",2018-02-15 20:31:47,kaffie_latte
95,25,2,Noooooooo!! Someone petition for #tizibika to be extended to an hour,2018-02-15 20:30:27,Novel_Cee
96,5,0,Ati Ba Charles is giving  #Tizibika #ZMComedy,2018-02-15 20:30:15,maluba96
97,7,0, "The oven is clean?" #tizibika,2018-02-15 20:29:50,KonNkhata
98,7,0,Ba Joyce!! After laughing #Tizibika,2018-02-15 20:29:46,MsRettaLi
99,5,0,"Lmao this is how ya'll bampula ma buyer
#Tizibika",2018-02-15 20:29:44,Klumzyballerina
100,24,1,"I know of so many Lusaka girls that have stolen eachothers “Ba Charles” 
It’s a shame 
#tizibika",2018-02-15 20:29:38,kristina_miti
101,4,0,Yachinja eshina to ba Charles? Mwelesa #Tizibika,2018-02-15 20:29:26,bwalya_mc
102,9,0,"Old Vintage! Lol 1968 | 
Pa Location | Instagram Followers | Jerabo | #Tizibika",2018-02-15 20:29:14,PetersenZambia
103,5,0," Guys, Charles has ghosted.  #Tizibika",2018-02-15 20:29:02,NubianSkywalker
104,4,0,Nhhii friends like joyce #tizibika,2018-02-15 20:28:49,KingZing_
105,8,0,Charles has made my night #Tizibika...kabwita,2018-02-15 20:28:41,Chilu_Tk
106,9,0,Eheeeeeeeeeeeeee. These friends we have #Tizibika,2018-02-15 20:28:12,Novel_Cee
107,6,0,Joyce abampula #Tizibika,2018-02-15 20:27:54,bwalya_mc
108,14,1,We would be happy to have Thandi at Hot Fm  #tizibika,2018-02-15 20:27:15,HoneyJewel9
109,2,0,#Tryness #tizibika,2018-02-15 20:26:53,Mister_Entitled
110,14,0,The tuma diary sessions are the best  #Tizibika,2018-02-15 20:26:47,NubianSkywalker
111,12,1,"Nalishebos boyfriend is a permanent bench warmer 
And she’s acting like a Wag 
#tizibika",2018-02-15 20:26:19,kristina_miti
112,6,0, Jerabo #Tizibika,2018-02-15 20:25:28,Klumzyballerina
113,8,0,My TL filled with all these #Zuba #tizibika and #Fever tweets and I can’t relate coz dololo dstv. pic.twitter.com/eUUHpqXzh4,2018-02-08 22:00:34,BwalyaYamba
114,6,0,#tizibika I love these girls,2018-02-08 21:54:28,joannaakuzike
115,6,1,Good things are meant to be enjoyed and talked about.....#Tizibika imwe,2018-02-08 21:46:08,Zambianated_OmA
116,9,2,I was dying the whole way! Im so proud of you @KatongoChiluba and Wezi! This is just great!!! Thank you @zambezimagictv for #tizibika,2018-02-08 21:31:19,itsEstherChungu
117,10,0,"Make some noise for yourself if you retweeted, liked or used the hashtag #Tizibika to send the show trending at no.1 #Zambia Tune in next week same time for the #SlayQueenChronicles",2018-02-08 21:29:52,ZambiazHarshTag
118,9,0,"#Tizibika has the versatility of lumanda, yo salula yo boiler ne yaku sashila,,, just can't get enough... No TV but hey I have a friend who has one.. #glued...",2018-02-08 21:29:20,Wolf92327
119,11,0,@KatongoChiluba nice #TizibakaSexTape  ise #Tizibika pic.twitter.com/79XWcyMm1R,2018-02-08 21:26:34,djloso21
120,9,0,"Zed twittter is trending with #zuba nad #tizibika...this is so wakandan,,,,,,,yes!",2018-02-08 21:23:13,Nizaismyname
121,6,0,"This show is great. The acting is on point too. Well done 

#Tizibika",2018-02-08 21:19:18,am_hmbx
122,6,2,@tozy_b @arushapot Congrat's on #Tizibika i haven't seen it yet but the feedback has been astounding well deserved!,2018-02-08 21:14:50,Samm_Sid
123,6,0,#tizibika time well spent,2018-02-08 21:13:44,bwalyaandrew
124,4,0,#tizibika  pilot episode “so far so good”,2018-02-08 21:11:25,Nizaismyname
125,11,1,Looking at all the tweets about #tizibika and all can see is how cool it is to run a sentiment analysis of them and plot a bar chart  comparing  negative & positive reviews. With the hope to build a Machine Learning model that predict which shows might be popular with ZedTwitter pic.twitter.com/Om8TTr4bdH,2018-02-08 21:06:49,mbuyu_
126,4,0,#Tizibika ,2018-02-08 21:06:20,Lady_Beast18
127,41,1,With ZNBCTv no longer having the monopoly on artistic expression. the film industry in Zambia is finally growing and flourishing.#Tizibika #Zuba #fever #dorika etc,2018-02-08 21:04:44,TiganaChileshe
128,3,0,Awe iliko. . We appreciate it as well that's how you grow #Tizibika,2018-02-08 21:04:39,arushapot
129,1,1,@tozy_b what time is the repeat of #Tizibika ?,2018-02-08 21:04:33,KasaziLungu
130,3,1,No negative feedback... The show is too  #Tizibika eh pulogulam,2018-02-08 21:00:03,ZambiazHarshTag
131,123,2,"Everyone who watched, twitted thank you soo much. My show is trending on twitter aaaahhhhhhhh

#tizibika
",2018-02-08 20:59:34,tozy_b
132,11,0,"#Tizibika i love our two leading ladies @KatongoChiluba and @jeSuis_Amy 
For bookings and inquiries, DM me ",2018-02-08 20:58:11,Mister_Entitled
133,12,0,#Tizibika #Zuba... Very Impressive..#Respect,2018-02-08 20:56:52,Aaron_Sankwana
134,21,0,I think Zambezi Magic was trying to compensate for date my family and brought #Tizibika . We forgive you. Well done @tozy_b  #ZambeziMagic has given me the best TV week experience in my Zambian TV watching history. ,2018-02-08 20:54:58,isala_lu
135,6,0,"Twalishiba ati mwalikaba ba #Zambia! Please, no copying and pasting the #Tizibika situation please.",2018-02-08 20:54:17,ZambiazHarshTag
136,13,1,"@tozy_b is the heart and soul of #Tizibika 
These are the hidden talents we have in Zambia ",2018-02-08 20:54:15,Mister_Entitled
137,3,1,#Tizibika pic.twitter.com/0hEX0MmPDS,2018-02-08 20:52:23,DarealysTawanda
138,10,1,#Tizibika i love the show so proud of you chiluba,2018-02-08 20:51:48,RacheaRm
