,likes,replies,retweets,text,timestamp,user
150,4,1,4,"I don't mind being a couch potato weh, the shows are good  #tizibika #Zubahttps://twitter.com/RockMKaka/status/961701949681913856 …",2018-02-08 20:48:12,Mizz_Chichy
151,8,0,2,That shit was hilarious  #Tizibika,2018-02-08 20:47:32,Mr_Chola
152,75,3,24,Of all of this weeks new shows on Channel 160 #Tizibika wins ,2018-02-08 20:47:27,luchi7
153,5,1,3,*Drum roll* for the director of #Tizibika @arushapot in dead ,2018-02-08 20:46:40,ZambiazHarshTag
154,8,0,4,@arushapot is the director of #tizibika. Honestly I have to give credit where it's due. This kind of talent needs to be echoed,2018-02-08 20:45:56,tabbethsainte
155,2,1,1,#Tizibika https://twitter.com/DarealysTawanda/status/961701907088723973 …,2018-02-08 20:44:57,DarealysTawanda
156,4,1,4,Mukwete ama shinga? #TizibakaSexTape in HD on deck. DM for details... Accepting mobile money and e-wallet... Namunfwa #Tizibika  te yabana iya bena Martin.,2018-02-08 20:43:47,ZambiazHarshTag
157,2,2,1,Chuff @tozy_b  ine l just yell action. #Tizibika,2018-02-08 20:42:49,arushapot
158,16,0,4,"#Tizibika  noti DMF zambia,cool stuff",2018-02-08 20:41:34,Zambianated_OmA
159,3,1,2,The show is a hit @tozy_b #Tizibika,2018-02-08 20:41:15,DarealysTawanda
160,74,8,11,"Thank you to everyone who watched #Tizibika , we appreciate the feedback.  Thank you so much.  There is a repeat tomorrow at 18:30. ",2018-02-08 20:38:45,arushapot
161,10,2,3,Who do I speak to about "guest appearing" on #tizibika ,2018-02-08 20:38:42,Tashy_WashyXO
162,8,0,5,I'd like to thank @zambezimagictv for giving us such a show! #Tizibika is such a hit and I loved every minute of it!,2018-02-08 20:38:36,tabbethsainte
163,17,2,9,I’m proud of everyone involved @tozy_b @arushapot @Mister_Entitled. #TIZIBIKA is BRILLIANT ,2018-02-08 20:38:02,NubianSkywalker
164,10,0,5,I couldn’t even get up to go grab my charger #Tizibika is sssssoooo good. #TGIT Zambezi magic for sure. I’m very impressed!!,2018-02-08 20:37:24,8sheetBanda_
165,8,0,3,You have a fan #Tizibika ,2018-02-08 20:37:15,Klumzyballerina
166,5,1,2,@tozy_b #Tizibika is trending! Yeah....,2018-02-08 20:36:52,Bembagirl90
167,17,0,5,The show was an insight of day to day lives and the girls really did execute it well . I'm impressed #Tizibika,2018-02-08 20:36:32,iistargirl
168,5,1,5,Congratulations @tozy_b (you're doing amazing sweetie) and the #tizibika team.,2018-02-08 20:36:26,KonNkhata
169,10,0,3,#Tizibika funny. Engaging. So much truth too. Lol. Thank you guys ,2018-02-08 20:36:00,MissMuyunda
170,17,1,12,Shout out to @tozy_b... Make some noise for @tozy_b for the amazing writing #Tizibika,2018-02-08 20:34:27,ZambiazHarshTag
171,6,0,2,Yasss what an awesome show #Tizibika,2018-02-08 20:32:19,TheZedBishop
172,30,0,9,#tizibika is just brilliant! They managed to make me laugh out loud. this is the  #zed  entertainment I need. ,2018-02-08 20:31:30,maluba96
173,14,2,6,I'm honestly beyond impressed with #Tizibika whoever is behind it kudos...,2018-02-08 20:31:18,jumaniza
174,8,1,3,Y'all still hiring ?#tizibika,2018-02-08 20:31:11,chisongo_ernest
175,24,3,6,So #Tizibika I love the concept and the two leads are good and charismatic also that opening sequence is glorious who did it?? For real that's world class. Now the problems... A thread I guess,2018-02-08 20:30:53,kiddtic
176,5,0,4,#Tizibika ,2018-02-08 20:30:47,prollyawesome22
177,18,3,7,I'm so proud of you @Mister_Entitled for #Tizibika it's a hit fam. I'm so so proud of you ,2018-02-08 20:30:12,DarealysTawanda
178,17,0,3,Zambian Tv is popping yall @zambezimagictv 160 @DStvZambia #Tizibika is something else too ,2018-02-08 20:30:04,Lungowe_Sims
179,86,1,21,I would like to thank Zambezi magic for doing the damn thing from fever to #Zuba and now #tizibika ,2018-02-08 20:29:32,iistargirl
180,6,0,1,Anyone with the link to the tape? #Tizibika,2018-02-08 20:29:29,C_jay10
181,7,2,1,Wait? Are they censoring the name Iris?!  #Tizibika,2018-02-08 20:29:08,MissMuyunda
182,2,1,1,"Imwe @KatongoChiluba is the greatest actress ever, I'm so glued to #Tizibika  its so real. Ba Charles  #ChiluForPresident",2018-02-17 22:35:18,ChimwasuChaks
183,2,1,0,"@Ericmuleproduct @kathlyn_47 @Mister_Entitled @queen_dimpled 

Guys we missed you tonight and please we have to have a #tizibika turn up night.

#zedkubekapic.twitter.com/NXtOQeHl0Y",2018-02-17 21:18:20,tozy_b
184,0,0,0,Where was I when #Tizibika premiered ,2018-02-17 13:35:38,Shanita_Claudia
185,0,0,0,"Wezi is fasting 
#Tizibika",2018-02-17 12:49:17,iam_tahlz
186,0,0,0,Now watching #Tizibika episode 1  wow,2018-02-17 12:48:02,iam_tahlz
187,1,0,0,"Wakanda! Wakanda! Wakanda! Here! There! Everywhere! 

This is what makes #Tizibika real... Lol 

Keep tweeting, Give those two girls more content",2018-02-17 11:01:58,PetersenZambia
188,1,0,0,The score is something I tend to overlook in films and TV shows so the fact that #Tizibika has that one string ost that keeps playing and I notice it isn't good. They should compose variants of it,2018-02-17 10:59:43,kiddtic
189,1,0,0,Dear #Tizibika when you are criticised take it positively. Channel it and transform it to take the show to greater heights. So far you are doing so great. Your characters are so relatable.,2018-02-17 10:20:11,mulengachibunda
190,0,0,0,Watching ep2 of #Tizibika,2018-02-17 10:19:18,kiddtic
191,2,2,0,"@arushapot Hun, why is #Tizibika on so late? We need it moved earlier, are they trying to kill your show?",2018-02-17 5:51:47,missbwalya
192,2,0,1,"When you hear the sale is on Friday 23rd and you had no idea.. #Tizibika
 Riverside Ex Zambezi Way near UCZ
 Items 
Rt for awareness pic.twitter.com/2dsbOLvvuX",2018-02-16 22:11:11,MwamwaT
193,1,0,2,Watched the 2nd episode of #Tizibika twice cause as usual my brain is always over thinking and I need to be certain about decisions ,2018-02-16 21:05:55,MwamwaT
194,3,2,1,#Tizibika is the ish no doubt. Kaya what the rest are doing giving us substandard shows. first of all. the concepts are not original so how hard could it be to copy/paste like for like?,2018-02-16 20:13:19,iAMchisha
195,4,0,1,Just watched #tizibika for the first time and enjoyed every bit of it. This is the show to watch,2018-02-16 20:01:29,africanbydemand
196,1,0,1,Charles is giving me life #Tizibika LOL,2018-02-16 19:58:32,iAMchisha
197,1,0,1,#tizibika this is a bit funny this kopala guy charles,2018-02-16 19:55:14,GIANT24_
198,1,0,1,"The nice thing about #Tizibika is that iss fresh, not a recycled idea like the play circle like shows that ain't even better than PlayCircle",2018-02-16 19:52:38,iAMchisha
199,3,1,2,"Currently @jeSuis_Amy
#Tizibika pic.twitter.com/iq5a1KvIUf",2018-02-16 19:48:57,heynayna
200,1,0,1,"I actually look forward to watching #Tizibika atleast, otherwise #Vina simaningi mweh.",2018-02-16 19:45:41,MwabaW
201,2,0,1,"That pallet bed, really nice @deejay_vixen looking at you #Tizibika",2018-02-16 19:45:05,iAMchisha
202,2,0,1,LOL this Charles dude on #Tizibika is extra extra Wezi na shokwa,2018-02-16 19:40:19,iAMchisha
203,2,0,1,"Charles Munalula, typical Kopala  guy. 
#tizibika",2018-02-16 19:40:19,mulengachibunda
204,1,0,1,LOL upon hearing ati K70 pin Wezi's demeanor LOL #Tizibika,2018-02-16 19:40:14,iAMchisha
