,likes,replies,retweets,text,timestamp,user
95,10,0,4,"ICYMI: Catch the repeat of Zambia's newest mock-reality show #Tizibika this Friday at 21:30 CAT; and witness #WeziTizibika's attempt at fame.
#ZambeziMagichttps://cards.twitter.com/cards/18ce53zjjs9/5bo75 …",2018-02-09 14:19:29,zambezimagictv
96,0,0,0,Am so loving this #tizibika,2018-02-09 10:38:06,NatashaNana8
97,2,0,1,Been working on a project for #zambezimagic and the D-day is near!!!..am excited #tizibika… https://www.instagram.com/p/BeLOPmSARcF/ ,2018-01-21 20:41:56,Ericmuleproduct
98,9,0,4,#Tizibika...... dont miss it!! pic.twitter.com/Mll0LOJfEh,2018-01-21 11:14:11,kathlyn_47
99,7,0,3,Look out for appearances by your favourite celebrities . #Tizibika .  Don't  forget 8th Feb 22:00 hours. pic.twitter.com/Wtb0dbjRPD,2018-01-21 10:52:24,arushapot
100,6,1,2,Then @KatongoChiluba and @jeSuis_Amy are the two main actress of The show #Tizibika,2018-01-21 10:48:58,arushapot
101,7,1,3,"Makeup was by @@kathlyn_47  , who by the way did the makeup on my dp .  #Tizibika",2018-01-21 10:47:29,arushapot
102,12,1,5,"#Tizibika was created and written  by @tozy_b , @Mister_Entitled gets special mention here too ",2018-01-21 10:44:30,arushapot
103,33,2,17,"Well its finally here, set to air on The 8th of Feb on @zambezimagictv, its #Tizibika . Co Directed by yours truly.  #Divadiarys cc @tozy_bpic.twitter.com/EAGXc2HzMJ",2018-01-21 10:40:16,arushapot
104,6,1,4,"Tune in to Zambezi magic on 8 feb at 22hrs to catch the comedy #Tizibika created by @tozy_b and starring @jeSuis_Amy 
The thread below is a q&a on what the show is about
Feel free to ask more questions!https://twitter.com/Curate_Zed/status/954994362211061760 …",2018-01-21 9:33:14,Curate_Zed
105,0,1,0,"So, when does #Tizibika air, and what can we expect?",2018-01-21 9:20:11,Curate_Zed
106,5,2,7,"Hey, i didn't star in it just wrote and produced it. #tizibika is a mokumentary about two slay queens trying to become famous. So one of them 'accidentally' leaks her sex tape and the other is trying to bag herself a famous boyfriend.",2018-01-21 8:32:13,tozy_b
107,4,4,2,"@tozy_b is the star of a mockumentary show #Tizibika 
Tozya, could you tell us a little about what the show will be about?
#LetsTalkZed",2018-01-21 8:29:37,Curate_Zed
108,1,0,0,#Tizibika  https://twitter.com/tozy_b/status/954724700927741952 …,2018-01-20 21:54:49,Mtrain187
109,3,0,0,Watch #Tizibika (I act as suzyo) on @zambezimagictv starting february 8th (on thursday) at 22hrs and  repeats on Friday at 18:30.... #ZambeziMagic #zambia #ZmTizibika #series #zedtwitter,2018-01-20 16:51:12,Kaysibo1
110,7,0,3,New TV show coming to Zambezi Magic #Tizibika tell somebody to tell somebody pic.twitter.com/Tcf2wBBYpM,2018-01-20 15:45:19,Mister_Entitled
111,10,0,5,#Tizibika #ZambeziMagic coming soon!pic.twitter.com/G5NqTvVkMk,2018-01-20 15:17:14,kathlyn_47
112,2,0,0,Been working on a project for #zambezimagic and the D-day is near!!!..am excited #tizibika #aftica #zambia... https://fb.me/1EhlsZEzc ,2018-01-20 14:59:35,Ericmuleproduct
113,5,0,1,can #tizibika be longer please? They're so many shows that it can replace ,2018-02-15 22:07:10,joannaakuzike
114,3,1,1,Thanks for support and am glad you enjoyed.#Tizibika,2018-02-15 22:01:03,KusalokaKabwit1
115,3,0,0,Compared to zuba #Tizibika makes more sense mweh,2018-02-15 21:43:47,NammmyK
116,3,1,0,ah ah Jangulu is Charles #Tizibika,2018-02-15 21:42:51,joannaakuzike
117,2,0,0,when they bleep out the name. We all know#Tizibika,2018-02-15 21:39:22,joannaakuzike
118,3,0,1,Yaaaasss #tizibika! When your #BaCharles does right by you..https://twitter.com/KukaMulenga/status/964251753981112321 …,2018-02-15 21:37:33,Nalahru
119,26,4,5,FINALLY watched #Tizibika its ARRRMMMAAAZZZIIINNGG!!! #wekeepmoving,2018-02-15 21:31:39,LuluHaangala
120,3,1,2,#Tizibika i would love to know the amazing director behind this cool show ...atlest #ZambeziMagic is bring us fun shows mwe,2018-02-15 21:26:29,RacheaRm
121,7,0,3,"Well Episode 2 #Tizibika not bad, I can tell that this will be my favourite show.",2018-02-15 21:24:59,MelissaShevon
122,1,0,1,@KatongoChiluba aty Tryness..#Tizibika,2018-02-15 21:17:26,MwambiK
123,2,1,2,Hehehe name change apo!  Ba Thandie.  Awe #Tizibika zoona,2018-02-15 21:12:02,Nalahru
124,6,2,2,Totally!!! That level creativity must be applauded!!! The ladies in it are soooo gorgeous and talented! I love it! It made me happy! #tizibika #ProudlyZambianhttps://twitter.com/mister_entitled/status/964231484809908224 …,2018-02-15 21:08:26,monde88
